date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:59:59	89676/89676	---MCZ	200	added ('OK')	text/html	etag:W/%225caaf332-15e4c%22	https://afinda.vn/html/Ogami/homepage05.html	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/homepage05.html	(from )
09:00:02	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Dec%202019%2008:00:04%20GMT	https://afinda.vn/robots.txt		(from )
09:00:03	291262/291262	---MCZ	200	added ('OK')	text/css	etag:W/%225cab27b2-471be%22	https://afinda.vn/html/Ogami/assets/css/style.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/style.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:03	207461/207461	---MCZ	200	added ('OK')	text/css	etag:W/%225caaf00e-32a65%22	https://afinda.vn/html/Ogami/assets/css/custom_bootstrap.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/custom_bootstrap.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:04	6119/6119	---MCZ	200	added ('OK')	text/css	etag:W/%225c7f42d0-17e7%22	https://afinda.vn/html/Ogami/assets/css/normalize.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/normalize.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:05	67285/67285	---MCZ	200	added ('OK')	text/css	etag:W/%225c7f5714-106d5%22	https://afinda.vn/html/Ogami/assets/css/fontawesome.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/fontawesome.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:05	25252/25252	---MCZ	200	added ('OK')	text/css	etag:W/%225c81cb56-62a4%22	https://afinda.vn/html/Ogami/assets/css/elegant.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/elegant.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:06	78199/78199	---MCZ	200	added ('OK')	text/css	etag:W/%225c8a3290-13177%22	https://afinda.vn/html/Ogami/assets/css/animate.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/animate.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:06	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2259d3cda8-6f0%22	https://afinda.vn/html/Ogami/assets/css/slick.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/slick.css	(from https://afinda.vn/html/Ogami/homepage05.html)
09:00:07	275/275	---M--	200	added ('OK')	text/css	etag:%225c8367a0-113%22	https://afinda.vn/html/Ogami/assets/css/scroll.css	C:/My%20Web%20Sites/template-trail/afinda.vn/html/Ogami/assets/css/scroll.css	(from https://afinda.vn/html/Ogami/homepage05.html)
